id,hub,title,short_description,steps,duration_minutes,age_band,environment,tags,status,created_at,updated_at
mdl-luz-baixa,meu-dia-leve,Luz baixa e voz calma,Um jeito simples de desacelerar a casa.,Diminua a luz por 10 min. | Fale mais baixo de propósito. | Convide a criança para “copiar o clima”.,10,,any,"acalmar, acolhimento, energia-baixa, sem-preparação",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mdl-mensagem-de-boa-noite,meu-dia-leve,Mensagem de boa noite,Uma frase fixa que dá segurança e constância.,"Escolha uma frase: “eu te amo, estou aqui.” | Repita todo dia por uma semana.",5,,any,"acolhimento, conexão, emocional, energia-baixa",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mdl-ritual-do-obrigado,meu-dia-leve,Ritual do “obrigado”,Um hábito simples para fortalecer vínculo.,Cada um agradece por 1 coisa do outro. | Terminem dizendo “eu gosto de você”.,10,,any,"conexão, autoestima, emocional, acolhimento",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mdl-um-cuidado-pequeno,meu-dia-leve,Um cuidado pequeno juntos,Um gesto simples que vira conexão.,"Escolham um cuidado (regar planta, arrumar almofada). | Façam juntos em silêncio leve.",10,,any,"conexão, autonomia, baixo-esforço",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mdl-um-momento-bom,meu-dia-leve,Um momento bom do dia,Um ritual curtinho para fechar o dia em conexão.,Pergunte: “qual foi a melhor parte do seu dia?” | Você responde também. | Terminem com um abraço ou toque.,10,,any,"conexão, emocional, acolhimento, energia-baixa",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-alfabeto-na-parede,meu-filho,Alfabeto na parede,"Caçar letras do nome pela casa (embalagens, livros).",Escolha 2 letras (do nome). | Procurem juntas onde elas aparecem. | Marquem num papel quantas acharam.,15,6-8,indoor,"alfabetização, atenção, sem-tela, objetos-da-casa",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-bingo-das-formas,meu-filho,Bingo das formas,"Procurar círculo, quadrado e triângulo pela casa.",Desenhe 3 formas no papel. | A criança acha objetos parecidos. | Marque quando encontrar.,15,3-5,indoor,"atenção, matemática, papel, objetos-da-casa, sem-preparação",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-caca-cores,meu-filho,Caça às cores pela casa,Um mini desafio de movimento e atenção sem nenhum preparo.,Diga uma cor: “vamos achar algo vermelho”. | A criança corre e traz ou aponta. | Troque a cor e aumente a dificuldade (duas cores).,10,3-5,indoor,"atenção, coordenação, energia-media, sem-preparação, objetos-da-casa",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-caixa-do-porque,meu-filho,Caixa do “por quê?”,Perguntas simples para estimular curiosidade e conversa.,Faça 5 perguntas rápidas (por que o gelo derrete?). | Deixe a criança responder sem corrigir. | Complemente com uma frase curta.,10,6-8,any,"linguagem, criatividade, conexão, baixo-esforço",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-caixa-dos-sentidos,meu-filho,Caixa dos sentidos,"Adivinhar objetos pelo toque, com risadas garantidas.",Coloque 5 objetos numa sacola. | A criança pega sem olhar. | Descreve e tenta adivinhar.,15,3-5,indoor,"sensorial, linguagem, objetos-da-casa, conexão, baixo-esforço",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-colecao-de-texturas,meu-filho,Coleção de texturas,"Caçar texturas (liso, áspero, macio) em casa.",Escolha 3 texturas. | Toquem e nomeiem juntos. | Façam uma “lista” desenhando símbolos.,15,3-5,indoor,"sensorial, linguagem, atenção, objetos-da-casa",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-contagem-do-dia,meu-filho,Contagem do dia,Contar objetos reais do cotidiano sem virar lição.,Conte 10 passos até a cozinha. | Conte 8 colheradas (ou tampinhas). | Pergunte: “quantos faltam para 10?”,10,6-8,any,"matemática, atenção, objetos-da-casa, sem-preparação",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-correio-da-familia,meu-filho,Correio da família,Bilhetinhos simples para criar vínculo e alfabetização leve.,Escreva “para você” num papel. | A criança desenha ou escreve uma palavra. | Coloquem em lugares surpresa da casa.,20,6-8,indoor,"alfabetização, conexão, papel, lápis, autoestima",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-dado-de-acoes,meu-filho,Dado de ações,Um “dado” com ações simples para mexer o corpo.,"Escreva 6 ações (pular, rodar, agachar). | Jogue e faça junto. | A criança inventa uma ação nova.",15,3-5,any,"coordenação, energia-media, papel, conexão, criatividade",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-desenho-por-ordem,meu-filho,Desenho por ordem,Você dá comandos simples e a criança desenha.,“Desenha um círculo.” | “Agora coloca dois pontinhos.” | “Faz uma boca feliz.” | “Transforma em um personagem.”,15,6-8,indoor,"criatividade, coordenação, papel, lápis, atenção",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-eco-de-palavras,meu-filho,Eco de palavras,Você fala e a criança repete do jeitinho dela. Rápido e ótimo para linguagem.,"Escolha 5 palavras do dia (casa, comida, brinquedo). | Fale uma por vez com entonação divertida. | Peça para repetir e celebre qualquer tentativa. | Troque por palavras “bobas” (pipoca, foguete).",10,3-5,indoor,"linguagem, conexão, sem-preparação, baixo-esforço, objetos-da-casa",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-historia-em-3-partes,meu-filho,História em 3 partes,Uma historinha curtinha que a criança ajuda a inventar.,Comece: “Era uma vez um(a)…”. | A criança escolhe personagem e lugar. | Você pergunta: “E aí aconteceu o quê?” | Termine com final feliz em 1 frase.,10,6-8,any,"criatividade, linguagem, conexão, sem-tela, baixo-esforço",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-jogo-do-contrario,meu-filho,Jogo do contrário,Treina atenção e autocontrole com risadas.,"Combine: “quando eu falar sim, você fala não”. | Comece devagar. | Troquem os papéis.",10,6-8,any,"atenção, emocional, conexão, sem-preparação",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-labirinto-com-dedo,meu-filho,Labirinto com o dedo,Desenhe um caminho simples e a criança segue com o dedo.,Faça um “caminho” no papel. | A criança percorre sem sair da linha. | Depois ela cria um para você.,15,6-8,indoor,"atenção, coordenação, papel, lápis, silencioso",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-lista-do-que-eu-vejo,meu-filho,Lista do “eu vejo”,Um jogo de observação que prende a atenção sem esforço.,"“Eu vejo algo que é…” (cor, tamanho). | A criança tenta adivinhar. | Troquem os papéis.",10,6-8,any,"atenção, linguagem, conexão, sem-preparação",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-mapa-do-tesouro,meu-filho,Mapa do tesouro,Um “tesouro” escondido e um mapa simples desenhado.,Esconda um objeto. | Desenhe um mapa com 3 pistas. | A criança segue e encontra.,20,6-8,indoor,"criatividade, atenção, papel, bagunceiro-ok, conexão",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-memoria-com-objetos,meu-filho,Memória com objetos da casa,Jogo de memória rápido com 6 objetos.,Separe 6 objetos pequenos. | Mostre por 20 segundos. | Cubra com um pano. | Tire 1 objeto e pergunte qual sumiu.,10,6-8,indoor,"memória, atenção, objetos-da-casa, sem-preparação, baixo-esforço",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-mini-chef,meu-filho,Mini chef por 10 minutos,A criança ajuda em uma tarefa simples e se sente importante.,"Escolha uma tarefa segura (lavar uvas, mexer iogurte). | Combine regra: “mãos limpas e calma”. | Elogie o esforço e a ajuda.",10,3-5,indoor,"autonomia, conexão, baixo-esforço, objetos-da-casa",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-missao-do-silencio,meu-filho,Missão do silêncio,Um jogo para acalmar e focar sem bronca.,“Desafio: 1 minuto bem silencioso.” | Conte no relógio e respirem juntos. | Aumente para 2 minutos se der.,5,3-5,any,"acalmar, atenção, energia-baixa, silencioso, acolhimento",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-organizar-por-categorias,meu-filho,Organizar por categorias,"Organização vira brincadeira (cores, tamanhos, tipos).",Separem brinquedos em um monte. | Escolham uma regra (por cor). | Mudam a regra (por tamanho).,15,3-5,indoor,"autonomia, atenção, objetos-da-casa, bagunceiro-ok",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-quebra-cabeca-caseiro,meu-filho,Quebra-cabeça caseiro,Transforme um desenho em quebra-cabeça em 2 minutos.,Desenhem algo juntos. | Corte em 6 a 10 pedaços. | Montem de novo.,20,6-8,indoor,"coordenação, atenção, papel, bagunceiro-ok, criatividade",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-respirar-com-urso,meu-filho,Respirar com o urso,Acalmar com respiração guiada e um brinquedo.,"Deite um bichinho na barriga da criança. | “Sobe quando inspira, desce quando solta.” | Façam 5 ciclos juntos.",5,3-5,any,"acalmar, emocional, acolhimento, energia-baixa, conexão",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-ritmo-com-palmas,meu-filho,Ritmo com palmas,Você faz um ritmo e a criança copia.,Comece com 3 palmas. | A criança repete. | Aumente devagar e troque por batidas na mesa.,10,3-5,any,"atenção, coordenação, música, conexão, sem-preparação",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-telefone-sem-fio,meu-filho,Telefone sem fio em casa,Diversão rápida para treinar atenção auditiva.,Sussurre uma frase curta. | A criança repete. | Aumente uma palavra por rodada.,10,6-8,indoor,"linguagem, atenção, conexão, silencioso, baixo-esforço",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mf-trilha-no-chao,meu-filho,Trilha no chão,"Use fita, almofadas ou livros para criar um caminho.",Faça 5 “ilhas” no chão. | A criança atravessa sem pisar fora. | Mude o caminho e repita.,15,3-5,indoor,"coordenação, energia-media, bagunceiro-ok, objetos-da-casa",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
